frq	imp	max	min
18.750	3.2410	3.4030	3.0445
23.438	3.2586	3.4223	3.0645
28.125	3.2897	3.4649	3.0831
32.813	3.2897	3.5032	3.0943
37.500	3.3130	3.5413	3.1185
42.188	3.3636	3.5847	3.1439
46.875	3.3758	3.6382	3.1677
51.563	3.4277	3.7036	3.1910
56.250	3.4732	3.7803	3.2157
60.938	3.5272	3.8700	3.2445
65.625	3.5896	3.9775	3.2782
70.313	3.6514	4.0995	3.3161
75.000	3.7166	4.2457	3.3584
79.688	3.8213	4.4245	3.4054
84.375	3.9222	4.6433	3.4572
89.063	4.0389	4.9052	3.5182
93.750	4.1818	5.2260	3.5875
98.438	4.3279	5.6393	3.6629
103.13	4.5323	6.1459	3.7451
107.81	4.7557	6.7626	3.8371
112.50	5.0448	7.4906	3.9429
117.19	5.3759	8.2671	4.0670
121.88	5.7690	8.9844	4.2131
126.56	6.2509	9.3834	4.3767
131.25	6.7969	9.4921	4.5629
135.94	7.4079	9.5275	4.7793
140.63	8.0416	9.5275	5.0293
145.31	8.6097	9.5275	5.3293
150.00	8.9525	9.5275	5.6742
159.38	8.8707	9.5275	5.5859
164.06	8.4893	9.5275	5.2403
168.75	7.9254	9.5275	4.9358
173.44	7.3550	9.5275	4.7315
182.81	6.4335	9.5275	4.4289
187.50	6.1385	9.5275	4.2940
192.19	5.9148	9.4759	4.1660
201.56	5.4015	8.7932	3.9415
206.25	5.1565	8.3223	3.8533
215.63	4.7533	7.3692	3.7149
225.00	4.4488	6.4996	3.6148
229.69	4.3314	6.1605	3.5759
239.06	4.1420	5.6438	3.5078
248.44	4.0001	5.2642	3.4498
257.81	3.8966	5.0205	3.4119
267.19	3.8080	4.8076	3.3822
276.56	3.7423	4.6083	3.3573
285.94	3.6932	4.4241	3.3405
295.31	3.6540	4.2831	3.3276
304.69	3.6278	4.1683	3.3169
314.06	3.6077	4.0744	3.3108
328.13	3.5835	3.9689	3.3038
337.50	3.5586	3.9139	3.2964
351.56	3.5200	3.8390	3.2857
365.63	3.4980	3.7860	3.2854
375.00	3.4877	3.7612	3.2854
389.06	3.4761	3.7285	3.2854
403.13	3.4606	3.7027	3.2854
417.19	3.4596	3.6861	3.2854
431.25	3.4642	3.6726	3.2854
450.00	3.4619	3.6600	3.2854
464.06	3.4533	3.6556	3.2854
482.81	3.4483	3.6586	3.2854
496.88	3.4498	3.6675	3.2854
515.63	3.4639	3.6758	3.2854
534.38	3.4642	3.6865	3.2890
553.13	3.4701	3.7024	3.2891
571.88	3.4767	3.7110	3.2891
595.31	3.4836	3.7226	3.2891
614.06	3.4976	3.7393	3.2895
637.50	3.5122	3.7605	3.2919
660.94	3.5240	3.7736	3.2973
684.38	3.5306	3.7871	3.3057
707.81	3.5351	3.8052	3.3153
731.25	3.5483	3.8248	3.3224
759.38	3.5758	3.8493	3.3311
782.81	3.5913	3.8688	3.3430
810.94	3.6047	3.8988	3.3541
839.06	3.6129	3.9239	3.3614
871.88	3.6336	3.9490	3.3760
900.00	3.6605	3.9765	3.3929
932.81	3.6857	4.0106	3.4080
965.63	3.7042	4.0452	3.4183
1003.1	3.7265	4.0812	3.4347
1035.9	3.7385	4.1117	3.4514
1073.4	3.7749	4.1508	3.4725
1110.9	3.8098	4.1905	3.4909
1153.1	3.8457	4.2336	3.5184
1195.3	3.8722	4.2742	3.5434
1237.5	3.9026	4.3214	3.5628
1279.7	3.9453	4.3711	3.5876
1326.6	3.9903	4.4270	3.6175
1373.4	4.0290	4.4789	3.6489
1420.3	4.0633	4.5249	3.6782
1471.9	4.1155	4.5778	3.7083
1523.4	4.1666	4.6377	3.7408
1579.7	4.2102	4.7077	3.7781
1635.9	4.2504	4.7884	3.8153
1692.2	4.3004	4.8826	3.8485
1753.1	4.3535	5.0104	3.8892
1814.1	4.4017	5.1367	3.9334
1879.7	4.4618	5.1976	3.9828
1945.3	4.5377	5.1976	4.0306
2015.6	4.6333	5.1976	4.0756
2085.9	4.7449	5.1976	4.1193
2160.9	4.8840	5.1976	4.1718
2235.9	4.9462	5.1976	4.2278
2315.6	4.8931	5.2545	4.2949
2400.0	4.8209	5.2965	4.3760
2484.4	4.8209	5.3529	4.4782
2573.4	4.8788	5.4304	4.5713
2667.2	4.9398	5.5146	4.5713
2760.9	5.0004	5.6004	4.5713
2859.4	5.0368	5.6878	4.5713
2962.5	5.0891	5.7790	4.5768
3065.6	5.1536	5.8660	4.6250
3173.4	5.2369	5.9605	4.6785
3285.9	5.3180	6.0548	4.7343
3403.1	5.3977	6.1567	4.7741
3525.0	5.4920	6.2626	4.8191
3651.6	5.5793	6.3766	4.8834
3782.8	5.6655	6.4915	4.9562
3914.1	5.7485	6.6026	5.0320
4054.7	5.8539	6.7196	5.1108
4200.0	5.9484	6.9139	5.1928
4350.0	6.0480	7.0170	5.2725
4504.7	6.1506	7.1197	5.3577
4664.1	6.2681	7.2218	5.4420
4828.1	6.3879	7.3234	5.5310
5001.6	6.5029	7.3462	5.6249
