frq	rbz	max
200.00	-	-
206.00	59.824	66.924
212.00	56.780	66.758
218.00	57.160	66.586
224.00	57.835	66.419
230.00	55.800	66.255
236.00	54.738	66.096
243.00	55.089	65.916
250.00	52.862	65.741
258.00	54.163	65.546
265.00	52.136	65.546
272.00	51.924	63.858
280.00	51.983	62.504
290.00	50.625	62.504
300.00	51.136	62.504
307.00	52.859	62.504
315.00	46.856	62.504
325.00	47.921	62.504
335.00	50.410	62.504
345.00	51.257	62.504
355.00	50.775	62.504
365.00	50.772	62.411
375.00	49.955	62.046
387.00	51.602	61.186
400.00	50.449	61.186
412.00	49.422	61.186
425.00	51.329	61.186
437.00	49.354	61.186
450.00	52.256	61.186
462.00	49.827	61.186
475.00	47.649	61.186
487.00	51.510	61.186
500.00	51.450	61.186
515.00	49.126	61.186
530.00	47.563	59.764
545.00	49.414	59.764
560.00	48.943	59.764
580.00	50.224	59.764
600.00	50.082	59.764
615.00	49.748	59.764
630.00	47.697	59.764
650.00	46.466	59.764
670.00	47.466	59.764
690.00	47.583	59.388
710.00	48.941	59.135
730.00	46.628	59.135
750.00	48.970	59.135
775.00	45.495	59.135
800.00	49.495	59.135
825.00	47.185	57.943
850.00	46.514	57.943
875.00	46.274	57.697
900.00	48.407	57.697
925.00	46.195	57.697
950.00	46.008	57.248
975.00	44.510	56.499
1000.0	44.310	56.499
1030.0	42.785	56.499
1060.0	48.492	55.252
1090.0	42.993	55.252
1120.0	45.891	55.252
1150.0	41.698	55.252
1180.0	38.464	55.252
1220.0	42.533	55.252
1250.0	44.026	55.252
1280.0	46.658	55.252
1320.0	42.197	55.252
1360.0	44.686	55.252
1400.0	43.668	55.252
1450.0	42.923	55.252
1500.0	46.495	55.252
1550.0	44.437	55.252
1600.0	45.736	55.252
1650.0	42.093	53.623
1700.0	45.713	53.623
1750.0	44.082	53.623
1800.0	43.681	53.623
1850.0	45.439	53.623
1900.0	42.504	53.623
1950.0	46.677	53.623
2000.0	45.915	53.623
2060.0	45.392	53.623
2120.0	42.958	53.623
2180.0	44.152	53.623
2240.0	44.438	53.623
2300.0	43.273	53.623
2360.0	42.439	53.623
2430.0	45.950	53.623
2500.0	44.635	53.623
2580.0	41.674	53.465
2650.0	40.146	53.465
2720.0	42.426	53.465
2800.0	41.787	53.465
2900.0	45.981	52.889
3000.0	41.777	52.889
3070.0	44.742	52.889
3150.0	41.037	52.889
3250.0	46.390	52.889
3350.0	43.044	52.889
3450.0	47.141	52.889
3550.0	44.669	52.300
3650.0	43.291	52.283
3750.0	42.388	52.283
3870.0	43.415	52.283
4000.0	43.129	52.283
4120.0	43.516	52.283
4250.0	42.653	52.283
4370.0	42.150	52.283
4500.0	42.708	52.535
4620.0	44.832	52.535
4750.0	43.101	52.535
4870.0	40.364	52.535
5000.0	41.594	52.535
5150.0	40.798	52.535
5300.0	43.078	52.535
5450.0	39.194	52.535
5600.0	42.030	52.535
5800.0	42.584	52.535
6000.0	43.482	52.535
6150.0	41.940	52.535
6300.0	44.293	52.535
6500.0	42.864	52.535
6700.0	38.039	52.535
6900.0	40.786	52.535
7100.0	37.562	52.177
7300.0	40.839	51.358
7500.0	38.861	50.856
7750.0	-	-
8000.0	-	-
8250.0	-	-
8500.0	-	-
8750.0	-	-
9000.0	-	-
9250.0	-	-
9500.0	-	-
9750.0	-	-
10000	-	-
10300	-	-
10600	-	-
10900	-	-
11200	-	-
11500	-	-
11800	-	-
12200	-	-
12500	-	-
12800	-	-
13200	-	-
13600	-	-
14000	-	-
14500	-	-
15000	-	-
15500	-	-
16000	-	-
16500	-	-
17000	-	-
17500	-	-
18000	-	-
18500	-	-
19000	-	-
19500	-	-
20000	-	-
