frq	resp	max	min
200.00	90.245	97.060	83.701
206.00	90.084	96.938	83.541
212.00	90.189	96.819	83.478
218.00	90.136	96.703	83.395
224.00	90.016	96.591	83.262
230.00	89.798	96.481	83.129
236.00	89.585	96.117	82.990
243.00	89.342	96.003	82.812
250.00	89.141	95.846	82.678
258.00	88.858	95.767	82.563
265.00	88.659	95.690	82.489
272.00	88.533	95.545	82.416
280.00	88.378	95.482	82.331
290.00	88.278	95.366	82.304
300.00	88.389	95.199	82.304
307.00	88.505	95.079	82.304
315.00	88.637	94.935	82.286
325.00	88.736	94.757	82.161
335.00	88.703	94.623	82.041
345.00	88.635	94.527	82.024
355.00	88.527	94.455	82.024
365.00	88.422	94.373	82.024
375.00	88.319	94.343	82.024
387.00	88.241	94.343	82.024
400.00	88.302	94.340	82.024
412.00	88.316	94.310	82.024
425.00	88.313	94.212	82.024
437.00	88.283	94.199	82.024
450.00	88.253	94.208	82.029
462.00	88.269	94.220	82.053
475.00	88.265	94.290	82.136
487.00	88.269	94.403	82.164
500.00	88.273	94.513	82.164
515.00	88.267	94.649	82.164
530.00	88.303	94.805	82.164
545.00	88.391	94.993	82.164
560.00	88.539	95.212	82.180
580.00	88.729	95.558	82.200
600.00	88.932	95.905	82.210
615.00	89.069	96.073	82.235
630.00	89.205	96.199	82.303
650.00	89.409	96.330	82.441
670.00	89.650	96.393	82.570
690.00	89.888	96.458	82.712
710.00	90.041	96.597	82.886
730.00	90.152	96.782	83.093
750.00	90.238	97.006	83.323
775.00	90.293	97.341	83.664
800.00	90.429	97.691	83.961
825.00	90.647	98.035	84.151
850.00	90.871	98.339	84.285
875.00	91.140	98.680	84.370
900.00	91.448	99.074	84.426
925.00	91.737	99.506	84.509
950.00	92.037	99.934	84.667
975.00	92.314	100.40	84.853
1000.0	92.597	100.86	85.082
1030.0	92.990	101.38	85.396
1060.0	93.455	101.92	85.712
1090.0	93.904	102.45	86.025
1120.0	94.399	103.03	86.299
1150.0	94.883	103.68	86.595
1180.0	95.332	104.38	86.946
1220.0	95.956	105.47	87.463
1250.0	96.416	106.26	87.848
1280.0	96.910	107.10	88.271
1320.0	97.681	108.18	88.826
1360.0	98.495	109.08	89.351
1400.0	99.453	109.75	89.896
1450.0	100.61	110.07	90.566
1500.0	101.86	110.10	91.339
1550.0	102.90	110.10	92.194
1600.0	103.70	110.10	93.190
1650.0	104.07	110.10	94.200
1700.0	104.11	110.10	95.261
1750.0	103.79	110.10	95.275
1800.0	103.34	110.10	94.367
1850.0	102.99	110.10	93.289
1900.0	102.58	110.10	92.058
1950.0	102.09	110.10	90.796
2000.0	101.51	109.84	89.576
2060.0	100.59	109.39	88.044
2120.0	99.477	108.99	86.685
2180.0	98.172	108.57	85.544
2240.0	96.825	108.07	84.497
2300.0	95.528	107.47	84.055
2360.0	94.172	106.67	84.026
2430.0	92.765	105.58	84.026
2500.0	91.603	104.30	84.026
2580.0	90.394	102.78	84.026
2650.0	89.985	101.48	84.026
2720.0	89.994	100.12	84.026
2800.0	90.182	98.739	84.026
2900.0	90.839	98.409	84.026
3000.0	91.328	98.409	84.026
3070.0	91.737	98.409	84.030
3150.0	92.199	98.409	84.088
3250.0	92.523	98.409	84.406
3350.0	92.502	98.409	84.936
3450.0	92.268	98.409	85.325
3550.0	91.958	98.409	85.224
3650.0	91.731	98.409	84.737
3750.0	91.672	98.403	84.187
3870.0	91.687	98.318	83.598
4000.0	91.537	98.001	83.261
4120.0	91.123	97.692	83.232
4250.0	90.465	97.574	83.232
4370.0	89.865	97.574	83.232
4500.0	89.347	97.543	83.232
4620.0	89.185	97.425	83.232
4750.0	89.229	97.059	83.232
4870.0	89.368	97.139	83.232
5000.0	89.583	97.288	83.232
5150.0	89.905	97.337	83.232
5300.0	90.245	97.337	83.232
5450.0	90.766	97.337	83.247
5600.0	91.237	97.337	83.352
5800.0	91.503	97.337	83.627
6000.0	91.004	97.337	83.785
6150.0	90.557	97.337	83.785
6300.0	90.215	97.337	83.785
6500.0	89.962	97.337	83.785
6700.0	90.069	97.259	83.624
6900.0	90.111	96.747	82.717
7100.0	90.201	96.551	81.985
7300.0	90.480	96.551	81.744
7500.0	90.337	96.551	81.744
7750.0	89.433	97.680	81.744
8000.0	88.519	98.366	81.744
8250.0	87.944	98.412	81.744
8500.0	89.237	98.412	81.233
8750.0	91.114	98.412	79.139
9000.0	92.494	98.412	78.558
9250.0	92.517	98.412	78.558
9500.0	90.350	98.412	78.558
9750.0	87.195	98.412	78.558
10000	85.047	98.412	78.558
10300	84.437	98.412	78.558
10600	85.746	98.412	78.558
10900	88.352	97.014	78.558
11200	90.301	97.014	75.419
11500	90.957	97.014	72.327
11800	90.799	97.014	70.598
12200	88.830	97.014	70.450
12500	85.598	97.014	70.450
12800	82.063	97.014	70.450
13200	78.418	97.014	70.450
13600	76.426	96.720	70.450
14000	76.589	95.028	70.179
14500	78.656	90.436	68.004
15000	79.620	85.895	67.043
15500	78.909	85.517	67.011
16000	76.875	85.517	66.355
16500	74.792	85.517	65.007
17000	73.405	85.517	62.891
17500	73.258	85.193	59.783
18000	73.039	84.109	58.756
18500	72.103	82.234	57.757
19000	70.859	80.448	56.785
19500	69.064	79.199	55.838
20000	67.157	79.030	55.745
