frq	thd	max
200.00	-	-
206.00	-	-
212.00	-	-
218.00	-	-
224.00	-	-
230.00	51.773	64.337
236.00	51.401	64.337
243.00	53.447	64.337
250.00	52.733	64.337
258.00	51.661	64.337
265.00	50.900	64.337
272.00	50.382	64.337
280.00	50.491	64.337
290.00	48.417	64.337
300.00	45.646	64.337
307.00	42.317	64.337
315.00	43.915	64.337
325.00	48.701	64.337
335.00	49.725	64.337
345.00	49.348	64.337
355.00	48.885	64.337
365.00	46.742	64.337
375.00	44.708	64.337
387.00	43.560	64.337
400.00	44.346	64.337
412.00	45.782	64.337
425.00	46.646	64.337
437.00	44.709	64.337
450.00	42.741	64.337
462.00	41.094	64.337
475.00	41.888	64.337
487.00	43.954	64.337
500.00	44.483	64.337
515.00	42.695	64.337
530.00	38.350	64.337
545.00	37.694	64.337
560.00	39.967	64.337
580.00	41.601	64.337
600.00	41.988	64.337
615.00	42.697	64.337
630.00	45.455	64.337
650.00	44.627	64.337
670.00	39.576	64.337
690.00	38.593	64.337
710.00	39.942	64.337
730.00	45.326	64.337
750.00	53.517	64.337
775.00	55.687	64.337
800.00	47.102	64.337
825.00	34.862	64.337
850.00	35.325	64.337
875.00	40.476	64.337
900.00	43.287	64.337
925.00	42.435	64.337
950.00	51.455	64.337
975.00	44.855	64.337
1000.0	37.616	64.337
1030.0	38.700	64.337
1060.0	37.295	64.337
1090.0	37.023	64.337
1120.0	39.121	64.337
1150.0	40.161	64.337
1180.0	36.901	64.337
1220.0	39.240	64.337
1250.0	49.326	64.337
1280.0	51.278	64.337
1320.0	40.767	64.337
1360.0	35.343	64.337
1400.0	39.512	64.337
1450.0	37.096	64.337
1500.0	40.186	64.337
1550.0	40.434	64.337
1600.0	44.191	64.337
1650.0	42.317	64.337
1700.0	42.537	64.337
1750.0	43.636	64.337
1800.0	41.810	64.337
1850.0	42.829	64.337
1900.0	45.031	64.337
1950.0	47.441	64.337
2000.0	41.181	64.337
2060.0	38.394	64.337
2120.0	37.732	64.337
2180.0	38.940	64.337
2240.0	36.722	64.337
2300.0	38.758	64.337
2360.0	39.109	64.337
2430.0	37.377	64.337
2500.0	36.230	64.337
2580.0	37.439	64.337
2650.0	35.914	64.337
2720.0	36.618	64.337
2800.0	38.793	64.337
2900.0	37.898	64.337
3000.0	39.946	64.337
3070.0	37.295	64.337
3150.0	38.266	64.337
3250.0	36.887	64.337
3350.0	34.917	64.337
3450.0	34.331	64.337
3550.0	37.861	64.337
3650.0	39.512	64.337
3750.0	38.302	64.337
3870.0	39.815	64.337
4000.0	40.624	64.337
4120.0	39.933	64.337
4250.0	35.921	64.337
4370.0	34.348	64.337
4500.0	35.007	64.337
4620.0	36.965	64.337
4750.0	34.276	64.337
4870.0	35.963	64.337
5000.0	32.023	64.337
5150.0	37.612	64.337
5300.0	35.028	64.337
5450.0	34.880	64.337
5600.0	34.635	64.337
5800.0	33.537	64.337
6000.0	37.063	64.337
6150.0	35.233	64.337
6300.0	32.510	64.337
6500.0	36.938	64.337
6700.0	29.983	64.337
6900.0	31.302	64.337
7100.0	30.823	64.337
7300.0	32.259	64.337
7500.0	31.538	64.337
7750.0	32.035	64.337
8000.0	31.080	64.337
8250.0	30.951	64.337
8500.0	30.043	64.337
8750.0	33.057	64.337
9000.0	31.908	64.337
9250.0	35.339	64.337
9500.0	30.873	64.337
9750.0	33.582	64.337
10000	-	-
10300	-	-
10600	-	-
10900	-	-
11200	-	-
11500	-	-
11800	-	-
12200	-	-
12500	-	-
12800	-	-
13200	-	-
13600	-	-
14000	-	-
14500	-	-
15000	-	-
15500	-	-
16000	-	-
16500	-	-
17000	-	-
17500	-	-
18000	-	-
18500	-	-
19000	-	-
19500	-	-
20000	-	-
